group_id,language,Day,word1,definition1,type1,word2,definition2,type2,word3,definition3,type3,word4,definition4,type4,word5,definition5,type5,word6,definition6,type6,word7,definition7,type7,word8,definition8,type8,image,video
1,Spanish,1,Bicicleta,Bicycle,Good,Cerveza,Beer,Good,Luna,Moon,Good,Lago,Lake,Good,Casco,Helmet,Bad,Vino,Wine,Bad,Sol,Sun,Bad,Gato,Cat,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-1-image.jpeg,Daily-1-video.mp4
2,Spanish,2,Pizza,Pizza,Good,Coche,Car,Good,Rueda,Wheel,Good,Cielo,Sky,Good,Pasta,Pasta,Bad,Autobús,Bus,Bad,Globo,Balloon,Bad,Tortuga,Turtle,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-2-image.jpeg,Daily-2-video.mp4
3,Spanish,3,Mar,Sea,Good,Barco,Boat,Good,Pájaro,Bird,Good,Árbol,Tree,Good,Casa,House,Bad,Motocicleta,Motorcycle,Bad,Pez,Fish,Bad,Dinero,Money,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-3-image.jpeg,Daily-3-video.mp4
4,Spanish,4,Nieve,Snow,Good,Suéter,Sweater,Good,Trineo,Sled,Good,Muñeco de nieve,Snowman,Good,Jugo de naranja,Orange juice,Bad,Traje de baño,Swimsuit,Bad,Esquí,Ski,Bad,Guantes,Gloves,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-4-image.jpeg,Daily-4-video.mp4
5,Spanish,5,Tabla de surf,Surfboard,Good,Fuego,Fire,Good,Agua,Water,Good,Arena,Sand,Good,Olas,Waves,Bad,Humo,Smoke,Bad,Hielo,Ice,Bad,Calle,Street,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-5-image.jpeg,Daily-5-video.mp4
6,Spanish,6,Silla,Chair,Good,Flores,Flowers,Good,Pared,Wall,Good,Corbata,Tie,Good,Armario,Closet,Bad,Cama,Bed,Bad,Puerta,Door,Bad,Camiseta,T-Shirt,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-6-image.jpeg,Daily-6-video.mp4
7,Spanish,7,Pintura,Painting,Good,Colores,Colors,Good,Ventana,Window,Good,Sombrero,Hat,Good,Escultura,Sculpture,Bad,Zapatos,Shoes,Bad,Pelota,Ball,Bad,Bufanda,Scarf,Bad,C:\Users\Yonatan\Desktop\Semester2\IdeaToReality\DuDuolingo\backend\data\images\Daily-7-image.jpeg,Daily-7-video.mp4
